Ticker,Start Date,End Date,Pietroski F-Score,Current Ratio,Liabilities to Equity Ratio,Debt Ratio,Quarterly Return
KWR,2015-07-31,2015-10-28,5.00000,3.07929,0.71207,0.09581,0.8925801597407107
KWR,2015-10-28,2016-02-25,5.00000,3.18262,0.87091,0.15390,0.9439761379846973
KWR,2016-02-25,2016-04-27,5.00000,2.87543,0.78555,0.12061,1.2417914548701743
KWR,2016-04-27,2016-07-27,6.00000,3.30501,0.77400,0.14148,1.0829737802854298
KWR,2016-07-27,2016-10-26,5.00000,3.20774,0.72973,0.12173,1.0688527939523955
KWR,2016-10-26,2017-02-28,6.00000,3.15894,0.68594,0.10945,1.2821370543821085
KWR,2017-02-28,2017-05-01,7.00000,2.95475,0.67721,0.09606,1.080805068952665
KWR,2017-05-01,2017-07-27,5.00000,2.83700,0.68021,0.09362,1.0299330988344024
KWR,2017-07-27,2017-10-26,5.00000,3.04862,0.66121,0.10220,1.0058260229022968
KWR,2017-10-26,2018-02-28,5.00000,2.83021,0.69121,0.09558,0.9946071904127829
KWR,2018-02-28,2018-04-30,4.00000,2.62749,0.76293,0.09251,1.0087020550237633
KWR,2018-04-30,2018-07-30,4.00000,2.72681,0.76095,0.10122,1.0722012077775565
KWR,2018-07-30,2018-11-01,6.00000,2.78115,0.71200,0.08856,1.118833941944668
KWR,2018-11-01,2019-02-28,7.00000,2.72021,0.68569,0.07205,1.1597610222935222
KWR,2019-02-28,2019-05-02,7.00000,2.76299,0.62630,0.05158,1.0578583353207727
KWR,2019-05-02,2019-08-01,5.00000,2.65283,0.58732,0.01747,0.8463342050680854
KWR,2019-08-01,2019-11-12,5.00000,2.69067,0.58208,0.01720,0.8545018646776771
KWR,2019-11-12,2020-03-20,2.00000,2.09556,1.26390,0.31677,0.8674480952677848
KWR,2020-03-20,2020-05-11,3.00000,1.98918,1.29426,0.32304,1.082081506504708
LABL,2015-08-10,2015-11-09,5.00000,1.50760,2.06296,0.48118,1.18305294026856
LABL,2015-08-10,2015-11-09,5.00000,1.36650,2.08572,0.48005,1.18305294026856
LABL,2015-11-09,2016-02-09,7.00000,1.56859,2.11224,0.47969,0.6718851924331376
LABL,2015-11-09,2016-02-09,7.00000,1.46725,2.08919,0.48758,0.6718851924331376
LABL,2016-02-09,2016-05-31,6.00000,1.33558,2.00531,0.46182,1.2170873786407768
LABL,2016-02-09,2016-05-31,6.00000,2.16563,2.06946,0.49100,1.2170873786407768
LABL,2015-08-10,2015-11-09,7.00000,1.50760,2.06296,0.48118,1.18305294026856
LABL,2015-08-10,2015-11-09,7.00000,1.36650,2.08572,0.48005,1.18305294026856
LABL,2015-11-09,2016-02-09,7.00000,1.56859,2.11224,0.47969,0.6718851924331376
LABL,2015-11-09,2016-02-09,7.00000,1.46725,2.08919,0.48758,0.6718851924331376
LABL,2016-02-09,2016-05-31,7.00000,1.33558,2.00531,0.46182,1.2170873786407768
LABL,2016-02-09,2016-05-31,7.00000,2.16563,2.06946,0.49100,1.2170873786407768
LABL,2016-05-31,2017-08-09,5.00000,1.55626,2.04610,0.47985,1.2699425654116145
LABL,2016-05-31,2017-08-09,5.00000,1.36433,2.23143,0.49582,1.2699425654116145
LABL,2016-05-31,2017-08-09,5.00000,1.80844,2.12308,0.47313,1.2699425654116145
LABL,2017-08-09,2017-11-09,6.00000,2.00730,2.04292,0.47732,0.9145728643216081
LABL,2017-08-09,2017-11-09,6.00000,1.88286,1.68826,0.42683,0.9145728643216081
LABL,2017-02-09,2017-05-30,6.00000,2.04148,1.93558,0.46726,1.099797707349966
LABL,2017-05-30,2017-08-09,7.00000,1.75814,1.85996,0.44094,0.9760882893930104
LABL,2017-08-09,2017-11-09,4.00000,2.00730,2.04292,0.47732,0.9145728643216081
LABL,2017-08-09,2017-11-09,4.00000,1.88286,1.68826,0.42683,0.9145728643216081
LABL,2017-11-09,2018-02-09,4.00000,2.05586,1.91699,0.46122,0.948489010989011
LABL,2017-11-09,2018-02-09,4.00000,1.96174,1.73291,0.41835,0.948489010989011
LABL,2018-02-09,2018-05-30,1.00000,1.94210,2.96690,0.56450,1.0137581462708183
LABL,2018-05-30,2018-08-09,3.00000,1.83720,2.81783,0.55071,0.9085714285714286
LABL,2018-08-09,2018-11-09,5.00000,1.96891,2.94512,0.56925,0.7317610062893082
LABL,2018-11-09,2019-02-11,3.00000,1.84441,2.86014,0.55493,1.091963902019768
LABL,2019-02-11,2019-05-28,5.00000,1.92760,2.77736,0.56375,0.9769775678866588
LAKE,2018-03-19,2018-06-08,4.00000,7.37065,0.14113,0.01778,1.0743494423791822
LAKE,2018-06-08,2018-09-10,5.00000,6.98268,0.14943,0.01653,0.9480968858131488
LAKE,2019-04-16,2019-06-10,5.00000,7.16005,0.13811,0.01392,1.0024916943521596
LAKE,2019-06-10,2019-09-09,4.00000,4.92608,0.22522,0.01259,0.8823529411764706
LAKE,2020-04-15,2020-06-09,8.00000,6.07304,0.16876,0.01162,0.9722054380664652
LAMR,2012-08-08,2012-11-08,7.00000,1.16679,3.12150,0.63276,1.1807194244604318
LAMR,2012-11-08,2013-02-28,7.00000,1.51375,2.94131,0.61170,1.1272239824518644
LAMR,2013-02-28,2013-05-08,7.00000,1.37482,3.07838,0.61492,1.0395675675675675
LAMR,2013-05-08,2013-08-08,7.00000,1.68700,2.98603,0.61381,0.9307404326123129
LAMR,2013-08-08,2013-11-07,7.00000,0.71755,2.91392,0.60388,1.1182122905027934
LAMR,2013-11-07,2014-02-27,6.00000,0.77120,2.88372,0.59105,0.9970023980815348
LAMR,2014-02-27,2014-05-07,7.00000,1.14960,2.64610,0.56996,0.9765484064942874
LAMR,2014-05-07,2014-08-07,6.00000,1.69345,2.63733,0.56814,1.033456486042693
LAMR,2014-08-07,2014-11-06,5.00000,1.41200,2.81240,0.57097,1.018669314796425
LAMR,2014-11-06,2015-02-26,7.00000,1.40069,2.97746,0.57603,1.1238058100994346
LAMR,2015-02-26,2015-05-06,7.00000,1.21214,2.38149,0.57246,1.0124913254684247
LAMR,2015-05-06,2015-08-06,6.00000,1.50309,2.41955,0.58213,1.0231322823851954
LAMR,2015-08-06,2015-11-05,6.00000,1.37134,2.42648,0.57585,0.9572935856640428
LAMR,2015-11-05,2016-02-25,6.00000,1.38150,2.39650,0.57617,0.949965010496851
